"","rank_RF"
"SNP7",126.255129895851
"SNP1",120.197731566255
"SNP4",105.869857384975
"SNP8",94.1802361375473
"SNP5",83.382481572921
"SNP2",57.4941421322228
"SNP36",15.4021604607306
"SNP71",13.056332979939
"SNP20",8.72577103665964
"SNP83",7.63699621057289
"SNP94",7.278263263436
"SNP48",6.24377214266363
"SNP11",5.92033407700211
"SNP51",5.87728791086258
"SNP38",4.63412437508422
"SNP63",4.12167140410803
"SNP3",4.00280496165804
"SNP14",3.79502601794787
"SNP27",3.39327927370789
"SNP69",3.23274677413872
"SNP12",2.92125700079566
"SNP40",2.67119933062742
"SNP93",2.38556761768782
"SNP91",2.22304793807448
"SNP44",2.00017546913387
"SNP23",1.95711295642035
"SNP6",1.7851661467073
"SNP99",1.6493106516827
"SNP41",1.6190073573157
"SNP97",1.50437412175775
"SNP50",1.37426462444889
"SNP9",1.19142445715203
"SNP54",0.960732252041516
"SNP85",0.92210062673233
"SNP10",0.88341296303798
"SNP92",0.802853270391355
"SNP89",0.797683596640567
"SNP13",0.738433022239968
"SNP78",0.727571583084019
"SNP56",0.632615620263101
"SNP100",0.549446522473265
"SNP88",0.532029386932002
"SNP43",0.475653324956069
"SNP47",0.2300266525508
"SNP55",0.133713864997261
"SNP76",0.124475321730853
"SNP81",-0.036454298895255
"SNP66",-0.071609735027952
"SNP74",-0.195032740059936
"SNP68",-0.267359253331588
"SNP80",-0.297622949280056
"SNP87",-0.348234866462976
"SNP57",-0.430226441278545
"SNP49",-0.586182414907256
"SNP46",-0.704102808883142
"SNP32",-0.70441062732139
"SNP62",-0.875841083967927
"SNP72",-0.880844416672152
"SNP61",-0.883563750169621
"SNP21",-0.929728497365437
"SNP98",-0.974460442098058
"SNP24",-0.999876182144115
"SNP95",-1.19635247175894
"SNP84",-1.25525800252176
"SNP58",-1.3413622240848
"SNP18",-1.61401231563098
"SNP29",-1.62861760332145
"SNP22",-1.66155948809505
"SNP31",-1.88282348067787
"SNP37",-1.97795898668164
"SNP39",-2.0127122320622
"SNP70",-2.05808305466899
"SNP53",-2.15240035067877
"SNP59",-2.25894811285575
"SNP73",-2.35054098072766
"SNP30",-2.45432745598383
"SNP96",-2.59576561124436
"SNP67",-2.72279421969177
"SNP17",-2.80859279354409
"SNP42",-2.89934163607642
"SNP75",-3.11030219573254
"SNP60",-3.12532249224781
"SNP64",-3.29025742486955
"SNP16",-3.29253135116865
"SNP79",-3.30458179570753
"SNP28",-3.46794953498077
"SNP77",-3.88767458294092
"SNP35",-3.93757833140379
"SNP33",-3.96928396781325
"SNP86",-4.11521184232759
"SNP52",-4.13624595006226
"SNP26",-4.21087961310006
"SNP25",-4.32020680352499
"SNP15",-4.46082387772006
"SNP90",-4.96163363000913
"SNP65",-5.02955670002432
"SNP34",-5.23001298498856
"SNP45",-5.2512516849963
"SNP82",-5.57688485177458
"SNP19",-5.5894012257233
