"","rank_RF"
"SNP5",351.557172261951
"SNP2",206.173702145146
"SNP1",171.309750232327
"SNP7",161.211875699987
"SNP8",153.147326740055
"SNP32",25.4319175945435
"SNP3",23.6963237534377
"SNP20",17.8316921848382
"SNP6",11.3188483287313
"SNP61",8.35964870798992
"SNP41",8.20673241434233
"SNP78",7.49251615546611
"SNP40",6.98966731949665
"SNP64",6.96633707842071
"SNP55",6.64670760210162
"SNP4",6.16001603029061
"SNP21",5.93616495204202
"SNP46",5.89066652796933
"SNP69",5.82255986845387
"SNP99",5.29982442283291
"SNP51",5.25363444816689
"SNP39",5.15790113705147
"SNP76",4.32485366319769
"SNP36",4.27324070255481
"SNP11",3.59323706594301
"SNP24",3.38532765184873
"SNP83",3.11137307688292
"SNP71",2.68029202500272
"SNP28",2.63054142265895
"SNP100",2.13961798748432
"SNP79",1.9657117937714
"SNP91",1.88238796471986
"SNP50",1.30778382482826
"SNP58",0.995298886794371
"SNP38",0.977016029435062
"SNP90",0.902075206582459
"SNP14",0.835956991304027
"SNP93",0.835388804227185
"SNP54",0.613495738920696
"SNP12",0.55814644793755
"SNP45",0.368846486259028
"SNP68",0.30328253696801
"SNP92",0.296998996519688
"SNP23",0.114633000921971
"SNP96",0.0976463927970555
"SNP18",0.061648000519372
"SNP35",0.0465465739296513
"SNP15",-0.259518367734062
"SNP22",-0.321309132921006
"SNP84",-0.329550561100473
"SNP86",-0.745304163713665
"SNP81",-0.833990520765837
"SNP10",-0.885856764065014
"SNP9",-0.935909817854413
"SNP97",-1.00694313975627
"SNP30",-1.09938899291247
"SNP88",-1.21192474561995
"SNP94",-1.22106113611689
"SNP65",-1.60747226945213
"SNP85",-1.64036401903418
"SNP31",-1.65563602448258
"SNP49",-1.93148107241464
"SNP25",-2.1609012916377
"SNP47",-2.3120301837905
"SNP44",-2.33657584666659
"SNP56",-2.447007941038
"SNP75",-2.45320727934215
"SNP63",-2.5231328465866
"SNP34",-2.63937377123625
"SNP42",-2.6793068750573
"SNP89",-2.71357216723306
"SNP73",-2.80805135545753
"SNP57",-2.9237369215143
"SNP62",-2.99035308129357
"SNP19",-3.04125301312399
"SNP16",-3.28536684761072
"SNP17",-3.34450731501156
"SNP52",-3.38338339158621
"SNP26",-3.50686710539265
"SNP98",-3.52779856887342
"SNP74",-3.72908382147456
"SNP66",-3.746910582784
"SNP72",-3.75885427592111
"SNP27",-3.84039668118082
"SNP53",-3.91189889193274
"SNP70",-3.93564311458393
"SNP29",-4.07609777772715
"SNP77",-4.11541551990157
"SNP59",-4.20056487058987
"SNP43",-4.20726945113748
"SNP80",-4.2286825129722
"SNP33",-4.27000843304423
"SNP67",-4.67029418113592
"SNP87",-4.67079334068098
"SNP60",-4.70339631417797
"SNP95",-5.12160373511909
"SNP13",-5.1708943207631
"SNP82",-5.6893197099356
"SNP37",-6.45127233560304
"SNP48",-6.81036909973211
